Platform,URL,Engagement,Text,Matched Keywords
Twitter,https://twitter.com/user/status/1970136849822998665,0,"@socialepfo @PMOIndia @narendramodi @LabourMinistry @MIB_India @mansukhmandviya EPFO SCAM ALERT! 🚨 Tracking ID: 10210975898906005 shows ""Claim Settled"" but PF amount NOT credited! 😡 Deductions made, but no payment received. EPFO's response is unacceptable! Planning to take this to the Supreme Court! 🕊️ #EPFO #PFClaims #JusticeForEmployees #Accountability""",unacceptable
Twitter,https://twitter.com/user/status/1970136849487417378,175,"RT @BhumiharSagar_: थोड़ा इसे शेयर कर दो 🖐️

मिर्जापुर प्रशाशन कार्यवाही करेगी उसके पूर्व 
आप भी एक कार्यवाही मिलकर करे 

इसके यूट्यूब पर…",N/A
Twitter,https://twitter.com/user/status/1970136849290317929,1,"RT @and_catch_fire: @elonmusk Hey, @grok, roughly speaking, how many people have been murdered by Christians for not accepting the Christia…",Christians
Twitter,https://twitter.com/user/status/1970136848967270649,3490,"RT @GBNEWS: ‘I am ASHAMED!’ Ex-MI6 chief tears into Keir Starmer’s move to recognise Palestine: ‘Terrible for British Jews’
https://t.co/bM…",Jews
Twitter,https://twitter.com/user/status/1970136848589869286,316,RT @ProjectConstitu: Black people around the nation are waking up and realize the democrat party has been lying to them and gaslighting the…,black people
Twitter,https://twitter.com/user/status/1970136848564699152,0,"Why are you talking like a moron??
NOTHING IN THE UK IS MADE BETTER BY ILLEGAL IMMIGRANTS.
Except there's more crime and more attacks on women and schoolgirls, https://t.co/2VQbC5xdJK https://t.co/Yn29A7jMbb",immigrants
Twitter,https://twitter.com/user/status/1970136848027766968,517,"RT @ssaratht: Sky news kicked him out of the show, just because this South Korean British man spitted facts by wearing bacon on his shoulde…",N/A
Twitter,https://twitter.com/user/status/1970136847922626564,1427,RT @willchamberlain: Personally I thought the assassination of Charlie Kirk was absolutely disgusting,disgusting
Twitter,https://twitter.com/user/status/1970136847889138163,1384,"RT @William_E_Wolfe: Just had the craziest Uber driver experience in Phoenix. 

The driver was very “concerned” that the Charlie Kirk memor…",N/A
Twitter,https://twitter.com/user/status/1970136847209861483,7,"RT @Mtu_Wa_Mjengoo: Kuambia watu your partner is circumissed twice after mumeachana is shameful and traumatic, what happened to post relati…",shameful
Twitter,https://twitter.com/user/status/1970136846358168048,0,"@davis_anth8671 @WinstonTFischer @CobaineSauce @B1TuckerCarlson @grok There are 5x more white men than black men. Say you have two pizzas to share with 10 people and three pizzas to share among 100 people. The 100 people have more pizza in raw numbers, but the 10 people get more pizza. I know abstract thinking is hard for negros, but now think of",N/A
Twitter,https://twitter.com/user/status/1970136846345908664,0,@IwuNewage @maddenifico Ummmm common-as-dirt racism.,racism
Twitter,https://twitter.com/user/status/1970136845754290284,30103,"RT @j_bambrick: My dear American friends,

We British Christians would get excited when, once a year, Queen Elizabeth would make a mild but…",Christians
Twitter,https://twitter.com/user/status/1970136845435511134,0,Evil!!! https://t.co/guZgQnNdLd,evil
Twitter,https://twitter.com/user/status/1970136845317996753,52,"RT @Rydro313: We remind the Muslims, especially the followers of Grand Ayatollah Sayyed Sistani (HA) that according to him, it is even hara…",Muslims
Twitter,https://twitter.com/user/status/1970136845284712453,2,RT @LordVizo__: Black people bore me so much. Hellen Zille &amp; co would rather die than do anything that will benefit darkies. They almost de…,black people
Twitter,https://twitter.com/user/status/1970136845226054085,706,"RT @johnpavlovitz: A Sunday reminder for Christians:

Lionizing Charlie Kirk as a Christian Martyr is bearing false witness.

https://t.co/…",Christians
Twitter,https://twitter.com/user/status/1970136845158862885,0,@Sachiv_Ji94 Vary disgusting,disgusting
Twitter,https://twitter.com/user/status/1970136845141819889,2120,"RT @AmyMek: Importing millions of Muslims is civilizational suicide. America must stop, or die. https://t.co/7ok15hus5B",Muslims
Twitter,https://twitter.com/user/status/1970136844928184324,0,@chibuikeobi19 Hell yes comrade! I 1000% agree with you. These kind of people are useful tools in normalising white supremacy and they don't even know it,white supremacy
Twitter,https://twitter.com/user/status/1970136844362027059,5,RT @GyllKing: @BearlyPolitics It wasn't enough was it? Having weaponised racism &amp; then rolled  back to broaden his electoral base it wasn't…,racism
Twitter,https://twitter.com/user/status/1970136843854426130,0,"What are your thoughts on U.K., EU, and USA openly funding the return of ISIS in Syria who kill Aramaic-speaking Christians, and recognising Jolani, the ex-ISIS leader, as leader of Syria? https://t.co/pvLnftt5EF",Christians
Twitter,https://twitter.com/user/status/1970136843355349247,91,"RT @SemperVeritasX: Now they're enacting orwellian level censorship, and hate speech laws. They're also planning on firearms confiscation.…",hate speech
